URL,Base Directory,Path,Form,Form Entry,Presentation Template
http://www.nlm.nih.gov/hmd/about/contactus.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/about/contactus.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/about/contactus.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/about/exhibition/exhibitions.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/about/exhibition/exhibitions.html,templatedata/internet/exhibitionpage/datacapture.cfg,templatedata/internet/exhibitionpage/data/hmd/about/exhibition/exhibitions.dcr,templatedata/internet/exhibitionpage/presentation/exhibitionpage.tpl
http://www.nlm.nih.gov/hmd/about/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/about/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/about/index.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/about/visitus.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/about/visitus.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/about/visitus.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/explore-history.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/explore-history.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/explore-history.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/help/reference/copyright.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/help/reference/copyright.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/help/reference/copyright.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/index.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hmd/sitemap/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hmd/sitemap/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hmd/sitemap/index.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/hsrph.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/hsrph.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/hsrph.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/index.html,,,
http://www.nlm.nih.gov/learn-about-drugs.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/learn-about-drugs.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/learn-about-drugs.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/libserv.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/libserv.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/libserv.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/listserv/rss_podcasts.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/listserv/rss_podcasts.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/listserv/rss_podcasts.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/medical-terms.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/medical-terms.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/medical-terms.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/medlineplus/directorscomments.html,,,,,
http://www.nlm.nih.gov/medlineplus/healthtopics.html,,,,,
http://www.nlm.nih.gov/medlineplus/index.html,,,,,
http://www.nlm.nih.gov/medlineplus/magazine/issues/spring14/toc.html,,,,,
http://www.nlm.nih.gov/medlineplus/mplusdictionary.html,,,,,
http://www.nlm.nih.gov/mesh/MeshBrowser.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/mesh/MeshBrowser.html,templatedata/internet/redirectHTML/datacapture.cfg,templatedata/internet/redirectHTML/data/mesh/MeshBrowser~1.dcr,templatedata/internet/redirectHTML/presentation/redirectHTML.tpl
http://www.nlm.nih.gov/mobile/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/mobile/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/mobile/index.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/nativevoices/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/nativevoices/index.html,,,
http://www.nlm.nih.gov/network.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/network.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/network.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/news/aidsinfo_optimized.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/aidsinfo_optimized.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/news/aidsinfo_optimized.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/news/cqm_value_sets.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/cqm_value_sets.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/news/cqm_value_sets.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/news/leiter_lecture_sejnowski.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/leiter_lecture_sejnowski.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/news/leiter_lecture_sejnowski.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/news/newsevents.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/newsevents.html,templatedata/internet/NewsAndEvents/datacapture.cfg,templatedata/internet/NewsAndEvents/data/news/newsevents.dcr,templatedata/internet/NewsAndEvents/presentation/NewsAndEvents.tpl
http://www.nlm.nih.gov/news/SymposiumVideos2014.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/SymposiumVideos2014.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/news/SymposiumVideos2014.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/news/william_harless_death.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/news/william_harless_death.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/news/william_harless_death.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/onlineexhibitions.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/onlineexhibitions.html,templatedata/internet/redirectHTML/datacapture.cfg,templatedata/internet/redirectHTML/data/onlineexhibitions.dcr,templatedata/internet/redirectHTML/presentation/redirectHTML.tpl
http://www.nlm.nih.gov/permlevels.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/permlevels.html,,,
http://www.nlm.nih.gov/plugins.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/plugins.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/plugins.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/portals/publishers.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/portals/publishers.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/portals/publishers.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/privacy.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/privacy.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/privacy.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/pubs/factsheets/factsheets.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/factsheets/factsheets.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/pubs/factsheets/factsheets.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/pubs/techbull/about.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/about.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/about.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/about_pm.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/about_pm.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/about_pm.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/about_sis.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/about_sis.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/about_sis.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/about_umls.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/about_umls.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/about_umls.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/back_issues.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/back_issues.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/back_issues.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/current_issue.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/current_issue.html,,,
http://www.nlm.nih.gov/pubs/techbull/ma14/ma14_mla_invite.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/ma14/ma14_mla_invite.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/ma14/ma14_mla_invite.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/ma14_clinical_advisory.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/ma14_clinical_advisory.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/ma14_clinical_advisory.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/ma14_hsrproj_retire_nlm_gateway.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/ma14_hsrproj_retire_nlm_gateway.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/ma14_hsrproj_retire_nlm_gateway.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/mj14_sis_reprint_toxmap_update.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/mj14_sis_reprint_toxmap_update.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/mj14_sis_reprint_toxmap_update.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/mj14_sis_reprint_wiser_android_3_1.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/mj14_sis_reprint_wiser_android_3_1.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/mj14_sis_reprint_wiser_android_3_1.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/mj14_snomed_ct.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/mj14_snomed_ct.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/mj14_snomed_ct.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/brief/mj14_umls_snomed_es.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/brief/mj14_umls_snomed_es.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/mj14/brief/mj14_umls_snomed_es.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_daily_medline_pubmed_updates.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_daily_medline_pubmed_updates.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_daily_medline_pubmed_updates.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_mesh_on_demand.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_mesh_on_demand.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_mesh_on_demand.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_mla_docline.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_mla_docline.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_mla_docline.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_mla_theater_presentations.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_mla_theater_presentations.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_mla_theater_presentations.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_mplus_webservice.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_mplus_webservice.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_mplus_webservice~1.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
